step,x,y,z,qx,qy,qz,qw,trans_norm
0,-3.6920515e-05,0.0062180627,-0.006703592,0.0015288983,-0.0045272033,-0.006012694,0.9999705,0.009143512
1,0.0011128717,0.0028649773,-0.0051970053,0.013807982,-0.0044251047,-0.0016855936,0.9998934,0.0060378346
2,0.00844084,-0.024345355,-0.004032233,0.08935333,0.012612454,0.0052593327,0.99590623,0.026080702
3,-0.013544708,-0.008117793,-0.016701097,0.035455756,-0.047542833,-0.033943497,0.9976625,0.022984436
4,-0.0024360367,0.00023366603,-0.0013495362,0.012397108,-0.0078755375,-0.023290807,0.99962085,0.0027946597
5,-0.021789536,-0.0016510274,-0.002744275,0.084680036,-0.053425293,-0.08112008,0.9916625,0.022023642
6,-0.0060182433,0.0099569,-0.001334271,0.0010897651,-0.01041443,-0.008336965,0.9999104,0.011710653
7,0.003576983,0.001147044,0.0021659862,-0.017710427,0.0082375305,0.010499496,0.9997541,0.004336129
8,-2.1103377e-05,-0.0016894809,0.00034733847,-0.009258918,-0.0044174427,0.0032450233,0.9999421,0.0017249449
9,0.005288401,-0.00467684,0.0012984865,-0.0065072924,0.011497321,0.021169906,0.9996886,0.0071781673
10,0.029938618,-0.019184403,0.020816406,-0.045952853,0.079917274,0.10509614,0.99017996,0.041202974
11,0.0031810228,-0.037015002,0.015387022,0.00034722465,0.017049674,0.030429041,0.99939144,0.04021181
12,-0.033165403,-0.054649726,-0.037095338,0.21584724,-0.08803813,-0.07150684,0.9698175,0.07390941
13,-0.0013857373,-0.032092325,-0.019942561,0.04450152,-0.008914195,0.010432876,0.9989151,0.0378093
14,0.02228349,-0.014974888,0.028052693,-0.049315743,0.061059993,0.053905826,0.9954566,0.03882982
15,0.031343244,-0.0368423,0.0444251,-0.010422951,0.097192176,0.1051087,0.989645,0.06567605
16,-0.07685975,-0.0203538,0.04473323,0.03386831,-0.006421995,-0.0052998443,0.9993916,0.09122916
17,-0.17625397,0.01209516,-0.067170426,-0.0092237415,-0.060343266,-0.050765876,0.9968432,0.18900694
18,-0.07231001,-0.005623987,-0.08523647,-0.014924252,-0.059598774,-0.087802015,0.9942415,0.11191793
19,-0.031883746,0.0034017966,-0.0047420524,-0.023580682,0.0012867838,-0.035901587,0.99907625,0.032413464
20,0.021014081,0.030010443,0.07480712,-0.28004193,0.10661884,0.027552938,0.9536508,0.083296604
21,-0.0024364942,-0.055357426,-0.06332619,-0.14800565,-0.024347179,-0.0030427964,0.9886821,0.084146224
22,0.09353807,0.055310003,-0.22129896,-0.20732598,0.057707846,-0.026088035,0.97621983,0.24653965
23,0.028367033,0.11723659,-0.060524814,-0.1704102,0.021737097,-0.03288917,0.9845843,0.13495317
24,0.042521104,0.22209172,0.071473435,-0.36569002,0.07517943,-0.10950135,0.9212102,0.23715234
25,-0.010861564,0.114129566,0.18435349,-0.187032,0.042619154,-0.065363385,0.97924984,0.21709386
26,-0.01730448,0.0029853403,0.054449346,-0.08852881,0.017614279,-0.008223723,0.9958839,0.05721091
27,-0.0034745478,-0.024400719,-0.0022366636,-0.0325747,-0.011762146,0.008232702,0.99936616,0.024748135
28,-0.007691456,-0.018450536,0.11981511,-0.04246575,0.061714735,-0.028312204,0.996788,0.12147115
29,-0.0030469315,-0.02406195,0.061793707,-0.008061032,0.032396547,0.014137355,0.9993426,0.06638316
30,0.00012983775,-0.0053062686,0.0011974719,0.036656942,-0.003133992,-0.0012109072,0.99932224,0.0054412573
31,-0.005609767,-0.072253264,-0.1308313,0.41400525,-0.12191908,0.03155063,0.9015209,0.14956214
32,0.021499757,-0.18020847,-0.19623923,0.2811305,-0.032537673,0.074210234,0.95624256,0.26729605
33,0.009919823,-0.25438696,-0.10241466,0.15508963,0.021435566,0.10470849,0.98210174,0.27440825
34,-0.023612497,-0.13142791,0.07658766,0.12326519,0.0059845564,0.06266688,0.99037504,0.15393673
35,-0.016963944,-0.042981636,0.061083857,0.041843727,0.008089721,0.040015317,0.99828976,0.07659265
36,-0.0079421755,-0.006642663,-0.031939887,0.03054201,-0.025430521,0.021435816,0.99898,0.033576176
37,-0.0075761112,0.0023419776,-0.007932869,0.018330408,-0.013981665,-2.473999e-05,0.9997342,0.011216627
